sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NRLAR-22-ESBL-22-0863-1-FH20_14 NRLAR-22-ESBL-22-0863-1-FH20 #14	1	137311	0.5125226675211746	f6c012660a0f4bb34296025812d92f63	-	-	-	-	-	-	-	-	non-mobilizable	NC_008490	0.243761	Escherichia coli	AB595	AK440	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_15 NRLAR-22-ESBL-22-0863-1-FH20 #15	1	130762	0.49140798862046026	3d855688851128b0d1a1d6247c31c0ab	-	-	-	-	-	-	-	-	non-mobilizable	CP013942	0.0751681	Cronobacter malonaticus LMG 23826	AA832	AJ216	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_16 NRLAR-22-ESBL-22-0863-1-FH20 #16	1	124349	0.5221594061874241	1cce2865822835969389dfa73540e8d9	-	-	-	-	-	-	-	-	non-mobilizable	CP012732	0.125715	Shigella flexneri 1a	AD446	AN005	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_17 NRLAR-22-ESBL-22-0863-1-FH20 #17	1	121728	0.5134890904311251	94e201d4bf0afa989f88355b00a7d7b3	-	-	-	-	-	-	-	-	non-mobilizable	CP042632	0.23011	Escherichia coli	AB002	AJ521	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_18 NRLAR-22-ESBL-22-0863-1-FH20 #18	1	109124	0.4820021260217734	a6ca439d79ef7644db585bb8d1c9a46f	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.210897	Escherichia coli	AF232	AP155	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_19 NRLAR-22-ESBL-22-0863-1-FH20 #19	1	104680	0.5107805768110127	71ef8de8e1c63ca80ef2d33413e157a7	-	-	-	-	-	-	-	-	non-mobilizable	CP024288	0.0981375	Escherichia albertii	AD672	AN296	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_20 NRLAR-22-ESBL-22-0863-1-FH20 #20	1	101123	0.5172710461517163	9058f5fcc636f5ce12067ad60e91f5ac	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.243761	Escherichia coli	AF232	AP155	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_21 NRLAR-22-ESBL-22-0863-1-FH20 #21	1	97345	0.48109301967229956	9edef15ea0bdd6f9112a9517a3b19ccb	-	-	-	-	-	-	-	-	non-mobilizable	MG557853	0.136948	Escherichia coli	AA619	AI859	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_22 NRLAR-22-ESBL-22-0863-1-FH20 #22	1	88599	0.5253896770843914	0ceb7f40494a03d5d836002a36b9fada	-	-	-	-	-	-	-	-	non-mobilizable	CP017280	0.156619	Enterobacter ludwigii	AF888	AP896	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_23 NRLAR-22-ESBL-22-0863-1-FH20 #23	1	86233	0.5105586028550555	a23cd22a171f31ed1858b4c1156436bf	-	-	-	-	-	-	-	-	non-mobilizable	CP029046	0.295981	Agrobacterium tumefaciens	AG740	AQ796	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_24 NRLAR-22-ESBL-22-0863-1-FH20 #24	1	79468	0.5250289424674083	827c896b85ad0b8b472d7769546768d4	-	-	-	-	-	-	-	-	non-mobilizable	CP019906	0.0639874	Escherichia coli	AG294	AQ321	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_25 NRLAR-22-ESBL-22-0863-1-FH20 #25	1	70212	0.5325300518429898	846eb35a49829193ad03b2d2e2fb9848	IncFIC,rep_cluster_2244	AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_010488_00021,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	KT325596	conjugative	KJ170699	0.0193079	Escherichia coli	AA319	AI205	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	28842132; 20851899; 30761100
NRLAR-22-ESBL-22-0863-1-FH20_26 NRLAR-22-ESBL-22-0863-1-FH20 #26	1	68795	0.5094847009230322	decd91cb9717ae4513e25e2804cddc81	-	-	-	-	-	-	-	-	non-mobilizable	NC_019049	0.117785	Escherichia coli	AG271	AQ297	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_27 NRLAR-22-ESBL-22-0863-1-FH20 #27	1	67956	0.5264218968434994	9cfbe98688b8a0405edce9c807b664f0	-	-	-	-	-	-	-	-	non-mobilizable	CP025144	0.174408	Klebsiella pneumoniae	AA860	AJ278	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_28 NRLAR-22-ESBL-22-0863-1-FH20 #28	1	66415	0.513814650304901	28daf1e642ba1a666d804689b95aad4b	-	-	-	-	-	-	-	-	non-mobilizable	LN846933	0.295981	Carnobacterium maltaromaticum	AG485	AQ525	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_29 NRLAR-22-ESBL-22-0863-1-FH20 #29	1	63788	0.5044992788612278	a982d65661393cd0d20e4d916cfd050a	-	-	-	-	-	-	-	-	non-mobilizable	MG387191	0.295981	Citrobacter freundii	AB130	AJ727	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_30 NRLAR-22-ESBL-22-0863-1-FH20 #30	1	59824	0.49319671035036106	f090a8a1e072f43dad31a2cd89525c46	-	-	-	-	-	-	-	-	non-mobilizable	CP014084	0.191731	Escherichia coli	AB526	AK337	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_31 NRLAR-22-ESBL-22-0863-1-FH20 #31	1	55447	0.46797842985193067	11e4a0a32573b1e11bda148f8b3bdcd8	-	-	-	-	-	-	-	-	non-mobilizable	CP031766	0.167688	Escherichia coli	AA328	AI229	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_32 NRLAR-22-ESBL-22-0863-1-FH20 #32	1	55446	0.5046171049309238	56c01aa6ec921458980a5779aa286d91	-	-	-	-	-	-	-	-	non-mobilizable	CP024617	0.186761	Escherichia coli	AA344	AI293	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_33 NRLAR-22-ESBL-22-0863-1-FH20 #33	1	45652	0.5022561990712345	f5efb5ab020ea1d91a99d0929b3d9aed	-	-	-	-	-	-	-	-	non-mobilizable	CP012922	0.243761	Salmonella enterica subsp. enterica serovar Heidelberg	AB233	AJ927	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_34 NRLAR-22-ESBL-22-0863-1-FH20 #34	1	45211	0.49687023069606956	f118005ea2e9fd6053a00fb5d0a2b2d4	-	-	-	-	-	-	-	-	non-mobilizable	CP022659	0.23011	Salmonella enterica subsp. enterica	AF598	AP572	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_35 NRLAR-22-ESBL-22-0863-1-FH20 #35	1	42939	0.5168261953003097	90bd11917194f5d52d41a6ad0e5da29c	-	-	-	-	-	-	-	-	non-mobilizable	CP010123	0.219531	Escherichia coli	AA309	AI166	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_36 NRLAR-22-ESBL-22-0863-1-FH20 #36	1	41462	0.4950074767256765	d5a1c5c3b3b87921a27153ca834c0384	-	-	-	-	-	-	-	-	non-mobilizable	CP024250	0.210897	Escherichia coli O182:H21	AE928	AO805	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_37 NRLAR-22-ESBL-22-0863-1-FH20 #37	1	40433	0.509954739940148	7f6362f482c22a3cbb6990be4d9e4f5e	-	-	-	-	-	-	-	-	non-mobilizable	CP029977	0.263022	Escherichia coli	AA372	AI346	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_38 NRLAR-22-ESBL-22-0863-1-FH20 #38	1	39330	0.462966258994635	55b861e46feee90c4c8ee273a1cddf56	-	-	-	-	-	-	-	-	non-mobilizable	CP030329	0.11478	Escherichia coli	AA322	AI211	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_39 NRLAR-22-ESBL-22-0863-1-FH20 #39	1	39282	0.4244946794969706	c931ef1deff201de14bd3ce3ae569944	IncX1,IncX3	000215__KC853434_00019,JN247852	MOBP	NC_019096_00001	MPF_T	NC_023277_00163,NC_013503_00034,NC_019067_00043,NC_010860_00022,NC_017624_00009	MOBP	CP007455	conjugative	JQ269336	0.000483446	Escherichia coli	AB233	AJ920	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	26842776; 21625636; 22470007
NRLAR-22-ESBL-22-0863-1-FH20_40 NRLAR-22-ESBL-22-0863-1-FH20 #40	1	38632	0.4427417684820874	b16b540a2b11d947da06051a41e2b7a3	IncFIB	000095__NZ_CP014273_00094	-	-	-	-	-	-	non-mobilizable	AP001918	0.056983	Escherichia coli K-12	AA304	AI158	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
NRLAR-22-ESBL-22-0863-1-FH20_41 NRLAR-22-ESBL-22-0863-1-FH20 #41	1	37256	0.47307816190680696	d1f8c30ee12910ce6deff2f85dc8bc02	-	-	-	-	-	-	-	-	non-mobilizable	AP010959	0.295981	Escherichia coli O103:H2 str. 12009	AA295	AI137	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_42 NRLAR-22-ESBL-22-0863-1-FH20 #42	1	31035	0.5324633478330917	50b378da908718019ed187b1cbce2c0c	-	-	-	-	-	-	-	-	non-mobilizable	CP011111	0.243761	Pseudomonas chlororaphis	AD692	AN321	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_43 NRLAR-22-ESBL-22-0863-1-FH20 #43	1	30225	0.44598842018196855	6e1ad43dd9b4544fedf60295217fb23f	-	-	-	-	-	-	-	-	non-mobilizable	CP023358	0.197292	Escherichia coli	AA312	AI171	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_44 NRLAR-22-ESBL-22-0863-1-FH20 #44	1	29736	0.4937449556093624	51c96bfa44a4748afd37c3037e836016	-	-	-	-	-	-	-	-	non-mobilizable	CP021835	0.167688	Klebsiella pneumoniae	AA860	AJ278	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_45 NRLAR-22-ESBL-22-0863-1-FH20 #45	1	28447	0.4864836362358069	e0415b435731bf3c8466d80a2f859a6e	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_46 NRLAR-22-ESBL-22-0863-1-FH20 #46	1	27740	0.5053724670080046	b33d74480b9d2200144a830bbc61de70	-	-	-	-	-	-	-	-	non-mobilizable	CP000795	0.130979	Escherichia coli O139:H28 str. E24377A	AB280	AJ996	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_47 NRLAR-22-ESBL-22-0863-1-FH20 #47	1	27126	0.5145248101452481	0d1d58665f609c6ae5a3246a9b42b677	-	-	-	-	-	-	-	-	non-mobilizable	FN597255	0.0914855	Acetobacter estunensis	AH321	AR377	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_48 NRLAR-22-ESBL-22-0863-1-FH20 #48	1	24979	0.5115897353777172	4a79d861889b309208cae49dcdec1e6d	-	-	-	-	-	-	-	-	non-mobilizable	MF156714	0.295981	Escherichia coli	AA170	AH819	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_49 NRLAR-22-ESBL-22-0863-1-FH20 #49	1	21540	0.49329123914759276	95a7ac3e554e4337a7c52fcc1429e838	-	-	-	-	-	-	-	-	non-mobilizable	MF543359	0.125715	Salmonella sp.	AC772	AM107	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_50 NRLAR-22-ESBL-22-0863-1-FH20 #50	1	20476	0.47939050595819493	0cbc5ec85a574c1399c9ea019b28aa70	-	-	-	-	-	-	-	-	non-mobilizable	CP025574	0.129604	Escherichia coli	AA734	AJ034	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_51 NRLAR-22-ESBL-22-0863-1-FH20 #51	1	16214	0.47773529048970026	fb4ef624d2854ebaae2998a27f3f9bba	-	-	-	-	-	-	-	-	non-mobilizable	CP032891	0.132399	Escherichia coli	AA179	AH869	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_52 NRLAR-22-ESBL-22-0863-1-FH20 #52	1	15413	0.5088561603840913	6a90499394e5f74a6de5fbb25e19367f	-	-	-	-	-	-	-	-	non-mobilizable	CP041531	0.23011	Escherichia coli	AA172	AH834	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_53 NRLAR-22-ESBL-22-0863-1-FH20 #53	1	14630	0.5545454545454546	0ea1d7e5349f743024aae013de2fd4b5	-	-	-	-	-	-	-	-	non-mobilizable	MF370216	0.0475157	Escherichia coli	AA304	AI157	genus	Escherichia	genus	Escherichia	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_54 NRLAR-22-ESBL-22-0863-1-FH20 #54	1	12394	0.4833790543811522	2d67c1d091560debbf9dc4bfec00f902	-	-	-	-	-	-	-	-	non-mobilizable	CP010124	0.174408	Escherichia coli	AA182	AH874	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_55 NRLAR-22-ESBL-22-0863-1-FH20 #55	1	10835	0.525703737886479	53e762e71d572f6eae3e9a1911066714	-	-	-	-	-	-	-	-	non-mobilizable	CP024288	0.0949813	Escherichia albertii	AD672	AN296	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_56 NRLAR-22-ESBL-22-0863-1-FH20 #56	1	10408	0.4695426594926979	3dc18f86499174fa352c6b797d1713cc	-	-	-	-	-	-	-	-	non-mobilizable	CP019269	0.111073	Escherichia coli	AC038	AL063	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_57 NRLAR-22-ESBL-22-0863-1-FH20 #57	1	7491	0.4882447234838365	0a6c722bb6000387a9543ac2ae604c6e	-	-	-	-	-	-	-	-	non-mobilizable	NC_006881	0.0914855	Escherichia coli	AA161	AH807	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_58 NRLAR-22-ESBL-22-0863-1-FH20 #58	1	7045	0.49893541518807666	e3383aa147002a83b55eab6ea22488bc	-	-	-	-	-	-	-	-	non-mobilizable	CP032886	0.197292	Escherichia coli	AB243	AJ948	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_59 NRLAR-22-ESBL-22-0863-1-FH20 #59	1	6997	0.4802058024867801	fbbf97a1dae41d7aebdcd5a915f27897	-	-	-	-	-	-	-	-	non-mobilizable	CP010123	0.210897	Escherichia coli	AA309	AI166	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_60 NRLAR-22-ESBL-22-0863-1-FH20 #60	1	6393	0.47160957297043643	356491fa5a9231070b911321a88f49e6	-	-	-	-	-	-	-	-	non-mobilizable	KX434885	0.219531	Klebsiella pneumoniae	AG456	AQ493	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_61 NRLAR-22-ESBL-22-0863-1-FH20 #61	1	6194	0.4323538908621246	01da764d7d600ec69d147f0668235f8b	-	-	-	-	-	-	-	-	non-mobilizable	KY612499	0.151946	Escherichia coli	AB044	AJ585	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_62 NRLAR-22-ESBL-22-0863-1-FH20 #62	1	5619	0.44118170492970277	d38835df252ee662bdb6eea5beab6f6a	-	-	-	-	-	-	-	-	non-mobilizable	KX434885	0.210897	Klebsiella pneumoniae	AG456	AQ493	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_63 NRLAR-22-ESBL-22-0863-1-FH20 #63	1	4908	0.5933170334148329	a3c2624465d455bf2803d8c3441afece	IncQ1	000195__NC_013728_00014	-	-	-	-	-	-	non-mobilizable	GQ379901	0.0211548	Salmonella enterica subsp. enterica serovar Typhimurium	AC120	AL172	phylum	Pseudomonadota	phylum	Pseudomonadota	phylum	Pseudomonadota	2653965; 25389419; 20851899
NRLAR-22-ESBL-22-0863-1-FH20_64 NRLAR-22-ESBL-22-0863-1-FH20 #64	1	4731	0.5846544071020926	7d23defddbab662f2d95706687bb7925	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_65 NRLAR-22-ESBL-22-0863-1-FH20 #65	1	4445	0.5653543307086614	01c318024dbf324288461623d965dac7	-	-	-	-	-	-	-	-	non-mobilizable	CP024094	0.0552118	Escherichia coli	AC082	AL121	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_66 NRLAR-22-ESBL-22-0863-1-FH20 #66	1	4367	0.4762995191206778	21c0001b38cb847a88cf4f9dafac0551	-	-	-	-	-	-	-	-	non-mobilizable	CP039314	0.243761	Enterobacter cloacae	AG661	AQ713	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_67 NRLAR-22-ESBL-22-0863-1-FH20 #67	1	3139	0.6425613252628225	6a0f30bac56f56fb1afb16bbb666cdf1	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.167688	Escherichia coli	AF232	AP155	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_68 NRLAR-22-ESBL-22-0863-1-FH20 #68	1	3038	0.5273206056616195	f23d8740b7edb300298fe357fe17dbe4	-	-	-	-	-	-	-	-	non-mobilizable	CP020349	0.140258	Pasteurella multocida subsp. septica	AF885	AP893	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_69 NRLAR-22-ESBL-22-0863-1-FH20 #69	1	2818	0.4510290986515259	843dfdba193a1dd07085b2bd1618d1c8	-	-	-	-	-	-	-	-	non-mobilizable	CP035365	0.170926	Escherichia coli	AF242	AP166	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_70 NRLAR-22-ESBL-22-0863-1-FH20 #70	1	2809	0.4951940192239231	57cd7b07b0e6ad67e9da77221914aaf0	-	-	-	-	-	-	-	-	non-mobilizable	CP031655	0.133864	Escherichia coli	AA323	AI215	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_71 NRLAR-22-ESBL-22-0863-1-FH20 #71	1	2657	0.5094126506024096	5a4d214929628e55f7c566ce4e3fb69b	-	-	-	-	-	-	-	-	non-mobilizable	CP024485	0.203604	Klebsiella pneumoniae	AA127	AH756	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_72 NRLAR-22-ESBL-22-0863-1-FH20 #72	1	2582	0.5960495739736639	5872f86655d8d44dab845b14464627a5	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_73 NRLAR-22-ESBL-22-0863-1-FH20 #73	1	2174	0.5022999080036799	6405261c372aad83a5add4405d36f5bf	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_74 NRLAR-22-ESBL-22-0863-1-FH20 #74	1	2160	0.4777777777777778	5be44c0b829763e384f07ce3b94c405c	-	-	-	-	-	-	-	-	non-mobilizable	CP014087	0.182269	Escherichia coli	AG401	AQ434	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_75 NRLAR-22-ESBL-22-0863-1-FH20 #75	1	2081	0.4089380105718405	35e41fdcf0fb04c8957a5ac360a45634	-	-	-	-	-	-	-	-	non-mobilizable	KY463220	0.167688	Escherichia coli	AA323	AI215	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_76 NRLAR-22-ESBL-22-0863-1-FH20 #76	1	2034	0.38692232055063913	8ffc106c091a6618ac50b8ea207bf39a	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.14383	Escherichia coli	AF232	AP155	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_77 NRLAR-22-ESBL-22-0863-1-FH20 #77	1	1750	0.49257142857142855	cf098c7c1ce92102a5712aa02dfcc095	Col(MG828)	NC_008486	-	-	-	-	MOBP	AB027308	mobilizable	CP029183	0.080322	Escherichia coli	AB685	AK564	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
NRLAR-22-ESBL-22-0863-1-FH20_78 NRLAR-22-ESBL-22-0863-1-FH20 #78	1	1731	0.5043327556325823	b7bd92a7bb4248c6ffc2384de56c302a	-	-	-	-	-	-	-	-	non-mobilizable	CP039980	0.0987984	Klebsiella pneumoniae	AC291	AL413	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_79 NRLAR-22-ESBL-22-0863-1-FH20 #79	1	1702	0.5293772032902467	7a8457f95b10e2530a3bbaa39c14b6c8	-	-	-	-	-	-	-	-	non-mobilizable	CP042065	0.133864	Staphylococcus aureus	AE387	AO159	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_80 NRLAR-22-ESBL-22-0863-1-FH20 #80	1	1613	0.5003099814011159	bbfdb0120862fb5fb29a8e42c4260af9	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_81 NRLAR-22-ESBL-22-0863-1-FH20 #81	1	1481	0.5165428764348413	8bc0bd5250b203128bac6e3e2234a6a5	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_82 NRLAR-22-ESBL-22-0863-1-FH20 #82	1	1384	0.5122832369942196	f842c08664496a7200ceb08e3d253874	-	-	-	-	-	-	-	-	non-mobilizable	CP031655	0.182269	Escherichia coli	AA323	AI215	-	-	-	-	-	-	-
NRLAR-22-ESBL-22-0863-1-FH20_83 NRLAR-22-ESBL-22-0863-1-FH20 #83	1	1361	0.4761204996326231	5e02bb9a23468d6fe5b2722dba6928c3	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-
